Absorber Layer,PCE,Voc,Jsc,FF
PIDT-FQ,"{'value': 4.6, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 9.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.6, 'error': None, 'unit': '%'}"
P1,"{'value': 0.82, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 2.52, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.0, 'error': None, 'unit': '%'}"
P2,"{'value': 1.35, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 4.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.5, 'error': None, 'unit': '%'}"
P3,"{'value': 1.92, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 6.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.6, 'error': None, 'unit': '%'}"
FAPbI3,"{'value': 14.2, 'error': None, 'unit': '%'}",,,
MA0.6FA0.4PbI3,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
MASn0.5Pb0.5I3,"{'value': 4.18, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 20.0, 'error': None, 'unit': '%'}",,,
QDs,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.608, 'error': None, 'unit': 'V'}","{'value': 14.06, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.0, 'error': None, 'unit': '%'}"
QDs,"{'value': 4.18, 'error': None, 'unit': '%'}","{'value': 0.594, 'error': None, 'unit': 'V'}","{'value': 13.04, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.9, 'error': None, 'unit': '%'}"
PTB7-Th:ACS8,"{'value': 13.2, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 25.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.3, 'error': None, 'unit': '%'}"
PTB7-Th:ACS8,"{'value': 20.0, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 20.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 20.0, 'error': None, 'unit': '%'}"
P3HT:NCBA,"{'value': 2.8, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 5.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.1, 'error': None, 'unit': '%'}"
N/A,"{'value': 1.0, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 2.36, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
Cs0.15FA0.85Pb(I0.95Br0.05)3,"{'value': 22.8, 'error': None, 'unit': '%'}","{'value': 1.16, 'error': None, 'unit': 'V'}","{'value': 23.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 82.6, 'error': None, 'unit': '%'}"
HNR Seq-MAI,"{'value': 10.5, 'error': None, 'unit': '%'}","{'value': 0.94696, 'error': None, 'unit': 'V'}","{'value': 17.33, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.0, 'error': None, 'unit': '%'}"
PTB7-Th:ITIC-4F,"{'value': 8.16, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PBDB-T-2Cl:ITIC-4F,"{'value': 10.63, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PTB7-Th:PC71BM,"{'value': 8.77, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
FAPbI3,"{'value': 9.03, 'error': 2.44, 'unit': '%'}","{'value': 0.97, 'error': 0.01, 'unit': 'V'}","{'value': 20.86, 'error': 0.82, 'unit': 'mA/cm2'}","{'value': 60.63, 'error': 1.87, 'unit': '%'}"
FAPbI2.55Br0.45,"{'value': 11.64, 'error': 0.89, 'unit': '%'}",,,
FA0.85MA0.15PbI2.55Br0.45,"{'value': 13.89, 'error': 0.84, 'unit': '%'}",,,
FA0.8MA0.15Cs0.05PbI2.55Br0.45,"{'value': 16.4, 'error': 1.22, 'unit': '%'}",,,
FA0.8MA0.15Cs0.05PbI3,"{'value': 14.1, 'error': 0.83, 'unit': '%'}",,,
CsPbI2Br,"{'value': 14.8, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 82.2, 'error': None, 'unit': '%'}"
CsPbI2Br-MABr,"{'value': 15.0, 'error': None, 'unit': '%'}",,,
Tetra-PDI,"{'value': 0.12, 'error': None, 'unit': '%'}","{'value': 0.32, 'error': None, 'unit': 'V'}","{'value': 0.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': None, 'unit': '%'}"
Hexa-PDI,,"{'value': 0.34, 'error': None, 'unit': 'V'}","{'value': 1.24, 'error': None, 'unit': 'mA/cm2'}",
"H-1, H-2, H-3, H-4, H-5","{'value': 3.66, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 8.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
PM6:Y6,"{'value': 12.41, 'error': None, 'unit': '%'}","{'value': 0.817, 'error': None, 'unit': 'V'}","{'value': 20.73, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.34, 'error': None, 'unit': '%'}"
Donor 1,"{'value': 3.3, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 7.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
TiO2,"{'value': 15.87, 'error': None, 'unit': '%'}","{'value': 1.016, 'error': None, 'unit': 'V'}","{'value': 23.92, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.3, 'error': None, 'unit': '%'}"
Ti-Zn-O,"{'value': 17.01, 'error': None, 'unit': '%'}","{'value': 1.035, 'error': None, 'unit': 'V'}","{'value': 24.61, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.8, 'error': None, 'unit': '%'}"
Ti-Ba-O,"{'value': 4.88, 'error': None, 'unit': '%'}","{'value': 0.957, 'error': None, 'unit': 'V'}","{'value': 15.01, 'error': None, 'unit': 'mA/cm2'}","{'value': 34.0, 'error': None, 'unit': '%'}"
PbS,"{'value': 0.77, 'error': None, 'unit': '%'}",,,
Methylammonium lead iodide (CH3NH3PbI3),"{'value': 9.3, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 19.71, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.00000000000001, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 18.9, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 23.16, 'error': None, 'unit': 'mA/cm2'}","{'value': 80.0, 'error': None, 'unit': '%'}"
Mg-PbS,"{'value': 4.4, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 11.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.3, 'error': None, 'unit': '%'}"
STB-C,"{'value': 7.84, 'error': None, 'unit': '%'}",,,
STB-O,"{'value': 8.68, 'error': None, 'unit': '%'}",,,
STB-S,"{'value': 4.05, 'error': None, 'unit': '%'}",,,
PM6:AC174:Y6,"{'value': 17.2, 'error': None, 'unit': '%'}","{'value': 0.817, 'error': None, 'unit': 'V'}","{'value': 28.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.1, 'error': None, 'unit': '%'}"
PM6:Y6,"{'value': 15.9, 'error': None, 'unit': '%'}","{'value': 0.812, 'error': None, 'unit': 'V'}","{'value': 26.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.5, 'error': None, 'unit': '%'}"
PBDTA-INDI,"{'value': 2.83, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 6.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.0, 'error': None, 'unit': '%'}"
PBDTT-INDI,"{'value': 4.13, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 8.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.1, 'error': None, 'unit': '%'}"
P1,"{'value': 5.4, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 11.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
P2,"{'value': 6.1, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 11.26, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
P3,"{'value': 7.4, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 12.28, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
PBDBPBI-Se,"{'value': 6.25, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 12.68, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.99999999999999, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 4.4, 'error': None, 'unit': '%'}","{'value': 0.55, 'error': None, 'unit': 'V'}","{'value': 5.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 4.2, 'error': None, 'unit': '%'}"
F8TCPS,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PTB7-Th:PCDTBT:ITIC,"{'value': 7.51, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 16.71, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.91, 'error': None, 'unit': '%'}"
TiO2 NWs,"{'value': 8.2, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 15.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
MWCNT-TiO2 composite NWs,"{'value': 9.5, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 16.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
BDTS-2DPP:IEIC,"{'value': 5.29, 'error': None, 'unit': '%'}",,,
BDT-2DPP:IEIC,"{'value': 4.0, 'error': None, 'unit': '%'}",,,
SM-3,"{'value': 2.05, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 4.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
SM-4,"{'value': 1.2, 'error': None, 'unit': '%'}","{'value': 1.1, 'error': None, 'unit': 'V'}","{'value': 2.42, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
SM-5,"{'value': 2.3, 'error': None, 'unit': '%'}","{'value': 1.17, 'error': None, 'unit': 'V'}","{'value': 3.16, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
SM-6,"{'value': 0.83, 'error': None, 'unit': '%'}","{'value': 1.17, 'error': None, 'unit': 'V'}","{'value': 1.43, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
SM-7,"{'value': 1.16, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 2.06, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
SM-8,"{'value': 3.17, 'error': None, 'unit': '%'}","{'value': 1.18, 'error': None, 'unit': 'V'}","{'value': 5.35, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
SM-9,"{'value': 2.37, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 6.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
SM-10,"{'value': 1.2, 'error': None, 'unit': '%'}","{'value': 1.18, 'error': None, 'unit': 'V'}","{'value': 2.68, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.0, 'error': None, 'unit': '%'}"
SM-11,"{'value': 3.63, 'error': None, 'unit': '%'}","{'value': 1.1, 'error': None, 'unit': 'V'}","{'value': 6.96, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
SM-12,"{'value': 3.86, 'error': None, 'unit': '%'}","{'value': 1.18, 'error': None, 'unit': 'V'}","{'value': 5.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.0, 'error': None, 'unit': '%'}"
SM-13,"{'value': 5.16, 'error': None, 'unit': '%'}","{'value': 1.14, 'error': None, 'unit': 'V'}","{'value': 8.29, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.00000000000001, 'error': None, 'unit': '%'}"
MAPbI3−xClx,"{'value': 12.6, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 21.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
MoS2,"{'value': 7.01, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 18.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.99999999999999, 'error': None, 'unit': '%'}"
Quadruple cation perovskite,"{'value': 20.3, 'error': None, 'unit': '%'}","{'value': 1.175, 'error': None, 'unit': 'V'}","{'value': 22.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.6, 'error': None, 'unit': '%'}"
39:PCBM,"{'value': 13.18, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 31.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 2.4, 'error': None, 'unit': '%'}"
43:PCBM,"{'value': 7.75, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 32.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 1.85, 'error': None, 'unit': '%'}"
1 wt%:11:P3HT:PCBM,"{'value': 11.6, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 65.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 4.51, 'error': None, 'unit': '%'}"
5 wt% 11:P3HT:PCBM,"{'value': 9.3, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 60.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 3.3, 'error': None, 'unit': '%'}"
5 wt% 12:P3HT:PCBM,"{'value': 8.8, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 64.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 3.38, 'error': None, 'unit': '%'}"
2.5 wt% 8:P3HT:PCBM,"{'value': 12.6, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 62.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 5.15, 'error': None, 'unit': '%'}"
10 wt% 44:P3HT:PCBM,"{'value': 15.2, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 47.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 4.28, 'error': None, 'unit': '%'}"
10 wt% 45:P3HT:PCBM,"{'value': 9.7, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 65.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 4.62, 'error': None, 'unit': '%'}"
SQ dye 12,"{'value': 5.2, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 12.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
SQ dye 8,"{'value': 4.55, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 10.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
SQ dye 45,"{'value': 4.6, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 8.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 17.74, 'error': None, 'unit': '%'}","{'value': 1.09, 'error': None, 'unit': 'V'}","{'value': 21.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.6, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 17.42, 'error': None, 'unit': '%'}","{'value': 1.09, 'error': None, 'unit': 'V'}","{'value': 20.87, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.6, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 17.17, 'error': None, 'unit': '%'}","{'value': 1.09, 'error': None, 'unit': 'V'}","{'value': 20.57, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.6, 'error': None, 'unit': '%'}"
P1,"{'value': 3.3, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 8.29, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
P2,"{'value': 3.14, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 8.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 46.0, 'error': None, 'unit': '%'}"
P3,"{'value': 4.42, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 13.01, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
P4,"{'value': 3.75, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 11.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
QxT,"{'value': 5.17, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 11.35, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
QxO:PC71BM-annealed,"{'value': 3.1, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 7.16, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
QxO:PC71BM-DIO,"{'value': 2.49, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 7.41, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
QxT:PC71BM-annealed,"{'value': 5.17, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 11.35, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
QxT:PC71BM-DIO,"{'value': 4.2, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 9.14, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 3.17, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 11.14, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.1, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.17, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 10.12, 'error': None, 'unit': '%'}","{'value': 1.31, 'error': None, 'unit': 'V'}","{'value': 11.027, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.08, 'error': None, 'unit': '%'}"
PM6:PN1,"{'value': 10.5, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
Mixed-ion perovskite,"{'value': 9.0, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 15.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
Mixed-ion perovskite,"{'value': 15.1, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 23.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
P3HT:PCBM:CdS,"{'value': 2.95, 'error': 0.1, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 8.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.97, 'error': None, 'unit': '%'}"
P3HT:PCBM:CdS,"{'value': 3.66, 'error': 0.05, 'unit': '%'}","{'value': 0.65, 'error': None, 'unit': 'V'}","{'value': 9.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.18, 'error': None, 'unit': '%'}"
P3HT:PCBM:CdS,"{'value': 4.41, 'error': 0.03, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 10.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.59, 'error': None, 'unit': '%'}"
PTZ51,"{'value': 3.62, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 10.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': None, 'unit': '%'}"
PTZ52,"{'value': 17.27, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 22.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
PTZ53,"{'value': 10.01, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 16.28, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.0, 'error': None, 'unit': '%'}"
D1:PCBM,"{'value': 1.6, 'error': None, 'unit': '%'}","{'value': 0.842, 'error': None, 'unit': 'V'}","{'value': 4.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': None, 'unit': '%'}"
(D1:D2):PCBM,"{'value': 2.0, 'error': None, 'unit': '%'}","{'value': 0.86, 'error': None, 'unit': 'V'}","{'value': 5.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.0, 'error': None, 'unit': '%'}"
D2:PCBM,"{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.735, 'error': None, 'unit': 'V'}","{'value': 4.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.0, 'error': None, 'unit': '%'}"
AgNW,"{'value': 4.45, 'error': 0.14, 'unit': '%'}","{'value': 0.58, 'error': 0.01, 'unit': 'V'}","{'value': 12.47, 'error': 0.24, 'unit': 'mA/cm2'}","{'value': 61.86, 'error': 2.17, 'unit': '%'}"
AgNW–TiOx,"{'value': 4.69, 'error': 0.05, 'unit': '%'}","{'value': 0.58, 'error': 0.01, 'unit': 'V'}","{'value': 13.32, 'error': 0.04, 'unit': 'mA/cm2'}","{'value': 61.23, 'error': 0.41, 'unit': '%'}"
AgNW–TiOx,"{'value': 4.98, 'error': 0.11, 'unit': '%'}","{'value': 0.58, 'error': 0.01, 'unit': 'V'}","{'value': 13.91, 'error': 0.93, 'unit': 'mA/cm2'}","{'value': 61.49, 'error': 2.28, 'unit': '%'}"
ITO,"{'value': 3.43, 'error': 0.07, 'unit': '%'}","{'value': 0.58, 'error': 0.01, 'unit': 'V'}","{'value': 10.95, 'error': 0.06, 'unit': 'mA/cm2'}","{'value': 54.41, 'error': 1.0, 'unit': '%'}"
P3HT and PC61BM,"{'value': 3.71, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 9.51, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.33, 'error': None, 'unit': '%'}"
D-OEG:BDT,"{'value': 1.03, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 2.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 33.6, 'error': None, 'unit': '%'}"
PT-Pc,"{'value': 0.41, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 1.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 34.0, 'error': None, 'unit': '%'}"
PT-1,"{'value': 0.32, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 1.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 33.0, 'error': None, 'unit': '%'}"
PPV-3,"{'value': 2.22, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 4.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
PPV-Pc,"{'value': 0.77, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 3.36, 'error': None, 'unit': 'mA/cm2'}","{'value': 35.0, 'error': None, 'unit': '%'}"
1/PC61BM,"{'value': 1.1, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 3.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 33.0, 'error': None, 'unit': '%'}"
2/PC61BM,"{'value': 1.0, 'error': None, 'unit': '%'}","{'value': 1.15, 'error': None, 'unit': 'V'}","{'value': 2.87, 'error': None, 'unit': 'mA/cm2'}","{'value': 28.999999999999996, 'error': None, 'unit': '%'}"
3/PC61BM,"{'value': 2.3, 'error': None, 'unit': '%'}","{'value': 1.11, 'error': None, 'unit': 'V'}","{'value': 5.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.0, 'error': None, 'unit': '%'}"
4/PC61BM,"{'value': 2.1, 'error': None, 'unit': '%'}","{'value': 1.1, 'error': None, 'unit': 'V'}","{'value': 5.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.0, 'error': None, 'unit': '%'}"
4/PC61BM,"{'value': 2.8, 'error': None, 'unit': '%'}","{'value': 1.13, 'error': None, 'unit': 'V'}","{'value': 6.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
4/PC61BM,"{'value': 2.5, 'error': None, 'unit': '%'}","{'value': 1.1, 'error': None, 'unit': 'V'}","{'value': 5.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
4/PC71BM,"{'value': 3.7, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 8.42, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': None, 'unit': '%'}"
P3HT/PC61BM,"{'value': 3.7, 'error': None, 'unit': '%'}","{'value': 0.65, 'error': None, 'unit': 'V'}","{'value': 8.38, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
TiO2–B/anatase core/shell nanowire arrays,"{'value': 4.88, 'error': None, 'unit': '%'}",,,
Various types of 2D perovskite compositions and device structures,"{'value': 17.5, 'error': None, 'unit': '%'}","{'value': 1.46, 'error': None, 'unit': 'V'}",,"{'value': 80.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 0.72, 'error': None, 'unit': '%'}",,,
PbSe NC films,"{'value': 1.62, 'error': None, 'unit': '%'}","{'value': 0.38, 'error': None, 'unit': 'V'}","{'value': 10.62, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.0, 'error': None, 'unit': '%'}"
PbSe NC films,"{'value': 2.9, 'error': None, 'unit': '%'}","{'value': 0.56, 'error': None, 'unit': 'V'}","{'value': 11.51, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
