,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
997,MAPbI3,10.6,,0.96,,15.5,,71.2,"(71.2, None)"
998,MAPbI3,5.9,,0.85,,11.8,,58.9,"(58.9, None)"
999,MAPbI3,6.6,,0.87,,12.3,,61.7,"(61.7, None)"
1000,CBZ,9.48,,0.934,,14.94,,67.9,"(67.9, None)"
1001,CBZ + PCBM (1 μL),9.74,,0.927,,14.98,,70.19999999999999,"(70.19999999999999, None)"
1002,CBZ + PCBM (5 μL),10.28,,0.928,,15.47,,71.6,"(71.6, None)"
1003,CBZ + PCBM (10 μL),11.01,,0.938,,15.64,,75.0,"(75.0, None)"
1004,CBZ + PCBM (40 μL),10.17,,0.9,,14.63,,77.2,"(77.2, None)"
1005,CBZ + PCBM (80 μL),9.95,,0.904,,14.18,,77.60000000000001,"(77.60000000000001, None)"
1006,Cs5(MA17FA83)95Pb(I83Br17)3 (CsMAFA),20.9,,1.188,,21.9,,80.2,"(80.2, None)"
1007,SnO2-PEO,10.2,,0.82,,15.6,,68.0,"(68.0, None)"
1008,SnO2-PEI,11.5,,0.85,,16.8,,67.0,"(67.0, None)"
1009,CH3NH3PbI3,10.3,,0.99,,9.8,,73.0,"(73.0, None)"
1010,SM1,2.74,,0.88,,8.62,,36.0,"(36.0, None)"
1011,SM2,3.76,,0.84,,11.9,,38.0,"(38.0, None)"
1012,SM3,3.1,,0.93,,10.3,,32.0,"(32.0, None)"
1013,SM4,2.92,,0.9,,9.73,,33.0,"(33.0, None)"
1014,CsPb0.98La0.02I2Br,8.03,,1.12,,11.66,,61.24,"(61.24, None)"
1015,PBATD,8.15,,0.76,,15.39,,66.1,"(66.1, None)"
1016,TBATD,8.63,,0.77,,15.5,,68.4,"(68.4, None)"
1017,P3HT:PCBM,5.4,,0.6,,13.74,,66.0,"(66.0, None)"
1018,AlCl4-PTAA,23.22,,1.173,,24.03,,82.38,"(82.38, None)"
1019,PTAA,21.65,,1.127,,23.75,,80.88,"(80.88, None)"
1020,PBTZT-stat-BDTT-8:PCBM cell,5.88,,0.81,,12.1,,59.24,"(59.24, None)"
1021,PBTZT-stat-BDTT-8:PCBM module,5.33,,1.57,,5.42,,62.31,"(62.31, None)"
1022,CH3NH3PbI3 cell,9.8,,1.01,,16.44,,59.54,"(59.54, None)"
1023,CH3NH3PbI3 module,9.75,,2.0,,8.12,,60.0,"(60.0, None)"
1024,LJ-7,7.01,,0.738,,12.94,,73.4,"(73.4, None)"
1025,LJ-7 with DCA co-adsorption,7.24,,0.747,,12.78,,75.8,"(75.8, None)"
1026,LJ-8,8.01,,0.801,,13.05,,76.6,"(76.6, None)"
1027,LJ-8 with DCA co-adsorption,7.07,,0.751,,12.51,,75.3,"(75.3, None)"
1028,LJ-9,5.06,,0.715,,9.96,,71.1,"(71.1, None)"
1029,LJ-9 with DCA co-adsorption,5.77,,0.751,,10.57,,72.7,"(72.7, None)"
1030,Cu–In–S,6.16,,0.623,,20.35,,48.5,"(48.5, None)"
1031,Cu–In–S,6.73,,0.634,,21.41,,49.6,"(49.6, None)"
1032,Cu–In–S,7.13,,0.635,,22.36,,50.1,"(50.1, None)"
1033,Cu–In–Se,6.45,,0.605,,21.18,,50.2,"(50.2, None)"
1034,Cu–In–Se,6.88,,0.611,,21.71,,51.9,"(51.9, None)"
1035,Cu–In–Se,7.11,,0.616,,21.52,,53.6,"(53.6, None)"
1036,TiO2/CdSe I/CdSe II,1.26,,0.66,,3.41,,55.8,"(55.8, None)"
1037,MAPbI3,5.8,,1.08,,7.6,,70.0,"(70.0, None)"
1038,P3HT:BIBT-NI (1:1.2),1.46,,0.82,,4.4,,40.9,"(40.9, None)"
1039,P3HT:BIBT-NI (1:1.2) (after thermal annealing),2.11,,0.77,,6.14,,44.2,"(44.2, None)"
1040,MAPbI3,15.15,,1.04,,19.92,,73.41,"(73.41, None)"
1041,MAPbI3,18.0,,1.04,,21.5,,80.52,"(80.52, None)"
1042,CuS,1.63,,0.49,,9.94,,32.0,"(32.0, None)"
1043,10% Ca-CuS,2.33,,0.5,,13.2,,33.0,"(33.0, None)"
1044,10% Ca-CuS/GS,2.73,,0.52,,16.26,,33.0,"(33.0, None)"
1045,R2,2.0,,0.74,,6.52,,42.0,"(42.0, None)"
1046,QA1-3,7.7,,0.804,,13.25,,73.0,"(73.0, None)"
1047,PTB7:PC71BM,9.09,,0.753,,17.18,,70.42,"(70.42, None)"
1048,PTB7-Th:PC71BM,10.59,,0.815,,17.54,,72.76,"(72.76, None)"
1049,"FBT-Th4(1,4):PC71BM",10.8,,0.77,,18.26,,75.32,"(75.32, None)"
1050,PBDB-T-2Cl:IT4F,13.3,,0.86,,20.41,,75.58,"(75.58, None)"
1051,PBDB-T-2F:Y6,15.95,,0.83,,25.34,,74.8,"(74.8, None)"
1052,PBDB-T-2Cl:IT4F,13.48,,0.862,,21.04,,74.06,"(74.06, None)"
1053,PBDB-T-2F:Y6,15.4,,0.84,,24.67,,73.46,"(73.46, None)"
1054,PTB7:PC71BM,8.1,,0.72,,16.87,,65.09,"(65.09, None)"
1055,PBDB-T-2F:IT4F,12.33,,0.821,,19.87,,73.9,"(73.9, None)"
1056,PTB7-Th:PC71BM,8.73,,0.81,,16.27,,66.2,"(66.2, None)"
1057,PTB7:PC71BM,8.0,,0.711,,17.08,,65.88,"(65.88, None)"
1058,PTB7:PC71BM,9.2,,0.737,,18.3,,67.8,"(67.8, None)"
1059,PTB7-Th:PC71BM,10.04,,0.78,,17.7,,72.0,"(72.0, None)"
1060,PTB7:PC71BM,9.0,,0.74,,17.3,,70.0,"(70.0, None)"
1061,PBDB-T:IT-M,12.1,,0.953,,17.34,,73.2,"(73.2, None)"
1062,PM6:Y6,16.57,,0.85,,25.7,,75.84,"(75.84, None)"
1063,PBDB-T-2F:Y6,15.03,,0.83,,25.4,,73.46,"(73.46, None)"
1064,CH3NH3PbI3−xClx,6.42,,0.86,,17.57,,42.0,"(42.0, None)"
1065,mono(carboxy)porphyrin-triazine-(bodipy)2 triad,3.48,,0.94,,8.04,,46.0,"(46.0, None)"
1066,mono(carboxy)porphyrin-triazine-(bodipy)2 triad,5.29,,0.9,,10.48,,56.00000000000001,"(56.00000000000001, None)"
1067,CYC-33O,5.7,,0.474,,19.38,,62.3,"(62.3, None)"
1068,CYC-33R,6.1,,0.533,,16.69,,68.60000000000001,"(68.60000000000001, None)"
1069,N749,5.8,,0.496,,19.2,,61.199999999999996,"(61.199999999999996, None)"
1070,PBDT-DTNT and PC71BM,8.4,,0.75,,17.4,,61.0,"(61.0, None)"
1071,1a,4.1,,0.83,,9.39,,47.0,"(47.0, None)"
1072,1b,2.0,,0.95,,6.67,,32.0,"(32.0, None)"
1073,PM6:Y6,15.75,,0.845,,25.3,,73.7,"(73.7, None)"
1074,PM6:SM1:Y6 (15 wt% SM1),16.55,,0.831,,25.7,,77.5,"(77.5, None)"
1075,inorganic CsSnI3,8.27,,0.52,,22.93,,69.4,"(69.4, None)"
1076,N/A,20.48,,1.06,,24.56,,78.94,"(78.94, None)"
1077,PM6:Y6,16.1,,0.842,,26.9,,71.1,"(71.1, None)"
1078,PBDB-T:A101,2.23,,0.88,,5.41,,46.8,"(46.8, None)"
1079,PBDB-T:A102,4.73,,0.96,,8.75,,56.3,"(56.3, None)"
1080,PBDB-T:DT-PDI2 (0.8 wt% DIO),2.74,,0.85,,5.75,,56.1,"(56.1, None)"
1081,PBDB-T:DT-PDI2 (2 wt% DPE),3.07,,0.84,,5.67,,64.5,"(64.5, None)"
1082,MnO2,3.04,,0.67,,11.92,,41.4,"(41.4, None)"
1083,MnO2 + 3 wt% rGO,3.3,,0.68,,11.67,,41.6,"(41.6, None)"
1084,MnO2 + 6 wt% rGO,5.77,,0.705,,15.97,,50.9,"(50.9, None)"
1085,MnO2 + 9 wt% rGO,5.17,,0.73,,12.97,,54.900000000000006,"(54.900000000000006, None)"
1086,CH3NH3PbI3,12.78,,0.997,,18.83,,68.04,"(68.04, None)"
1087,M1,1.48,,0.49,,6.6,,46.0,"(46.0, None)"
1088,M3,1.99,,0.84,,7.67,,31.0,"(31.0, None)"
1089,M2,2.23,,0.89,,7.17,,35.0,"(35.0, None)"
1090,M4,3.1,,0.98,,9.04,,35.0,"(35.0, None)"
1091,Perovskite,20.58,,1.133,,22.83,,79.5,"(79.5, None)"
1092,P3HT:C60,0.42,,0.51,,1.95,,42.0,"(42.0, None)"
1093,P3HT:C60:R3,0.27,,0.42,,0.42,,62.0,"(62.0, None)"
1094,P3HT:C60 (thermally annealed),1.31,,0.42,,5.64,,55.00000000000001,"(55.00000000000001, None)"
1095,P3HT:C60:R3 (thermally annealed),0.66,,0.41,,3.32,,49.0,"(49.0, None)"
1096,D18:FM4,11.36,,0.68,,23.97,,70.0,"(70.0, None)"
1097,N719 dye,7.6,,0.757,,15.98,,62.8,"(62.8, None)"
1098,Mixed-cation mixed-halide perovskite (Cs0.05FA0.75MA0.2PbI2.7Br0.3),20.45,,1.09,,23.56,,79.84,"(79.84, None)"
1099,PM6:Y18:PC71BM,17.11,,0.84,,26.3,,77.4,"(77.4, None)"
1100,CsPbI3−xBrx,14.08,,1.12,,16.36,,76.87,"(76.87, None)"
1101,PM6:BTP-eC9,15.6,,0.83,,25.9,,72.4,"(72.4, None)"
1102,PM6:BTP-eC9,10.0,,0.78,,24.3,,52.5,"(52.5, None)"
1103,PM6:BTP-eC9,17.7,,0.85,,26.6,,78.3,"(78.3, None)"
1104,IDT2Se-4F,11.19,,0.79,,21.49,,65.9,"(65.9, None)"
1105,PDFQx-3T:PC71BM,8.0,,0.74,,17.19,,63.0,"(63.0, None)"
1106,PM6:IT-4F:N7IT (1:0.7:0.3),15.02,,0.89,,22.54,,74.8,"(74.8, None)"
1107,CuInSe2,8.44,,0.428,,34.5,,57.199999999999996,"(57.199999999999996, None)"
1108,DRDTSBDTT,5.05,,0.975,,10.08,,51.3,"(51.3, None)"
1109,(FAPbI3)0.85(MAPbBr3)0.15 perovskite,19.4,,1.101,,22.37,,79.0,"(79.0, None)"
1110,(FAPbI3)0.85(MAPbBr3)0.15 perovskite,18.3,,1.074,,21.86,,78.0,"(78.0, None)"
1111,(FAPbI3)0.85(MAPbBr3)0.15 perovskite,18.8,,1.115,,22.44,,75.0,"(75.0, None)"
1112,(FAPbI3)0.85(MAPbBr3)0.15 perovskite,16.0,,1.032,,21.21,,73.0,"(73.0, None)"
1113,PTB7:PC71BM,5.12,,0.679,,13.98,,54.0,"(54.0, None)"
1114,PTB7:PC71BM,5.59,,0.7,,14.22,,56.2,"(56.2, None)"
1115,PTB7:PC71BM,6.59,,0.715,,15.34,,60.1,"(60.1, None)"
1116,PTB7:PC71BM,7.99,,0.74,,16.61,,65.0,"(65.0, None)"
1117,PTB7:PC71BM,7.87,,0.735,,16.43,,65.2,"(65.2, None)"
1118,BTIC-2Cl-γ,15.04,,0.9,,23.58,,70.98,"(70.98, None)"
1119,2D (BA)2(MA)3Pb4I13 perovskite,12.78,,1.04,,18.4,,66.8,"(66.8, None)"
1120,POD2T-DTBT,6.12,,0.72,,12.43,,68.4,"(68.4, None)"
1121,P2T-ODDTBT,3.85,,0.76,,7.82,,64.8,"(64.8, None)"
1122,POD4T-DTBT,3.0,,0.596,,8.52,,59.1,"(59.1, None)"
1123,N/A,18.7,,1.15,,20.89,,77.8,"(77.8, None)"
1124,ZnO,0.42,,0.45,,1.1,,54.9,"(54.9, None)"
1125,TQ1:PC70BM blend,5.48,,0.9,,10.46,,59.2,"(59.2, None)"
1126,TQ1:PC70BM blend,4.93,,0.89,,9.29,,59.4,"(59.4, None)"
1127,TQ1:PC70BM blend,3.71,,0.91,,6.54,,62.2,"(62.2, None)"
1128,TQ1:PC70BM blend,2.5,,0.88,,4.9,,56.5,"(56.5, None)"
1129,PTB7-Th:IDT-BT-R,9.39,,1.04,,15.09,,59.85,"(59.85, None)"
1130,ZnO/CoS,2.04,,0.589,,10.84,,43.0,"(43.0, None)"
1131,TiO2–P0,11.8,,1.06,,19.5,,56.99999999999999,"(56.99999999999999, None)"
1132,TiO2–P0.5,15.4,,1.06,,21.5,,68.0,"(68.0, None)"
1133,TiO2–P1,17.7,,1.05,,22.8,,74.0,"(74.0, None)"
1134,TiO2–P1.5,18.3,,1.05,,23.0,,76.0,"(76.0, None)"
1135,TiO2–P2,17.6,,1.02,,22.9,,75.0,"(75.0, None)"
1136,p-MoO3,8.46,,0.73,,17.02,,68.1,"(68.1, None)"
1137,p-MoO3,5.85,,0.72,,14.78,,54.9,"(54.9, None)"
1138,p-MoO3,7.57,,0.72,,15.9,,66.2,"(66.2, None)"
1139,p-MoO3,7.81,,0.73,,16.43,,65.1,"(65.1, None)"
1140,PEDOT:PSS,7.93,,0.73,,16.17,,67.2,"(67.2, None)"
1141,PtNP/GN (5/1),8.0,,0.71,,18.8,,59.8,"(59.8, None)"
1142,s-Pt,7.14,,0.718,,15.5,,64.1,"(64.1, None)"
1143,s-Pt,2.36,,0.686,,4.85,,70.89999999999999,"(70.89999999999999, None)"
1144,CexCd1−xS,3.72,,0.73,,8.16,,62.5,"(62.5, None)"
1145,CFTS,5.6,,0.64,,13.4,,64.3,"(64.3, None)"
1146,P(InCzTh2BTD),3.6,,0.69,,9.17,,56.99999999999999,"(56.99999999999999, None)"
1147,SF-PVK,18.5,,1.03,,23.8,,75.0,"(75.0, None)"
1148,RS-PVK,15.9,,0.98,,22.7,,71.0,"(71.0, None)"
1149,(FA0.8MA0.15Cs0.05PbI2.55Br0.45) (DMSO)1.9,14.7,,0.97,0.01,21.4,2.9,64.4,"(64.4, 4.5)"
1150,P3HT,3.86,,1.18,,5.17,,64.0,"(64.0, None)"
1151,B3T-T:BO-4Cl,11.1,,0.867,,21.9,,58.199999999999996,"(58.199999999999996, None)"
1152,B3T-P:BO-4Cl,15.2,,0.815,,25.7,,72.39999999999999,"(72.39999999999999, None)"
1153,8 at% Sm-doped TiO2,6.78,,0.74,,14.53,,63.0,"(63.0, None)"
1154,N/A,9.6,,0.712,,20.4,,66.0,"(66.0, None)"
1155,CH3NH3PbI3(Cl),12.99,,0.998,,19.25,,67.62,"(67.62, None)"
1156,Perovskite,14.61,,1.17,,15.89,,78.6,"(78.6, None)"
1157,Perovskite,13.49,,1.16,,15.06,,75.3,"(75.3, None)"
1158,BTC,17.32,,0.834,,28.0,,73.51,"(73.51, None)"
1159,PM6:15 wt% BTC:Y6,17.3,,0.895,,26.74,,76.23,"(76.23, None)"
1160,PM6:Y6,15.51,,0.824,,26.21,,71.63,"(71.63, None)"
1161,BTC:Y6,7.48,,0.795,,18.25,,49.74,"(49.74, None)"
1162,P3HT:PCBM,3.89,,0.58,,10.03,,67.0,"(67.0, None)"
1163,PDBT-T1:PPDI-O,4.51,,1.04,,8.51,,51.1,"(51.1, None)"
1164,PDBT-T1:PPDI-Se,7.48,,1.05,,10.7,,66.3,"(66.3, None)"
1165,Dip LbL,5.13,,0.706,,12.31,,60.0,"(60.0, None)"
1166,Spray LbL,5.66,,0.708,,13.39,,59.8,"(59.8, None)"
1167,Nanoparticle,5.86,,0.718,,12.61,,64.7,"(64.7, None)"
1168,Perovskite,11.04,,0.92,,17.85,,56.99999999999999,"(56.99999999999999, None)"
1169,2D/3D CsPbI2Br,16.57,,1.28,,15.92,,81.35,"(81.35, None)"
1170,"Cu2(Ge0.5,Sn0.5)(S2,Se)",0.31,,0.6,,1.32,,39.0,"(39.0, None)"
1171,MAPbI3,15.82,,1.2,,20.2,,65.25,"(65.25, None)"
1172,MAPbI3,11.45,,0.95,,19.79,,60.0,"(60.0, None)"
1173,MAPbI3,1.49,,0.84,,3.28,,53.0,"(53.0, None)"
1174,MAPbI3,12.41,,0.95,,18.9,,68.0,"(68.0, None)"
1175,MAPbI3,10.25,,0.93,,18.64,,59.0,"(59.0, None)"
1176,MAPbI3,11.92,,0.95,,19.19,,65.0,"(65.0, None)"
1177,CH3NH3Pb1−xZnxI3−yCly,16.3,,1.06,,21.98,,70.0,"(70.0, None)"
1178,ITO-free perovskite solar cells (PeSCs),16.23,,1.01,,22.84,,71.62,"(71.62, None)"
1179,PM6:BDDTTIC,3.72,,0.95,,8.93,,44.0,"(44.0, None)"
1180,PM6:BDDTTIC-4F,5.62,,0.95,,9.47,,62.44,"(62.44, None)"
1181,MABr–FAPbI3,22.16,,1.14,,25.26,,76.94,"(76.94, None)"
1182,PTB7-Th:ITIC,7.56,,0.788,,14.9,,64.3,"(64.3, None)"
1183,PTB7-Th:EH-IDTBR,8.84,,0.965,,15.35,,59.7,"(59.7, None)"
1184,PTB7-Th:PC71BM,6.09,,0.778,,15.0,,52.0,"(52.0, None)"
1185,MAPbI3,20.03,,1.08,,22.27,,83.3,"(83.3, None)"
1186,PTB7-Th:Cu2S NCs:PCBM,8.2,,0.803,,15.2,,66.1,"(66.1, None)"
1187,P1:PC60BM,0.36,,0.54,,1.97,,33.0,"(33.0, None)"
1188,P1:PC60BM + 1% DIO,0.44,,0.55,,2.16,,37.0,"(37.0, None)"
1189,P2:PC60BM,0.26,,0.52,,0.91,,36.0,"(36.0, None)"
1190,P2:PC60BM + 1% DIO,0.34,,0.59,,1.24,,47.0,"(47.0, None)"
1191,P3:PC60BM,1.31,,0.55,,4.52,,52.0,"(52.0, None)"
1192,P3:PC60BM + 1% DIO,1.71,,0.54,,6.88,,46.0,"(46.0, None)"
1193,P3:PC70BM + 1% DIO,2.23,,0.55,,7.86,,52.0,"(52.0, None)"
1194,P3:ITIC,0.96,,0.6,,4.73,,34.0,"(34.0, None)"
1195,TiO2,4.9,,0.681,,10.0,,71.1,"(71.1, None)"
1196,TiO2,6.6,,0.73,,12.7,,71.2,"(71.2, None)"
1197,TiO2,5.1,,0.68,,10.5,,71.1,"(71.1, None)"
1198,TiO2,6.2,,0.715,,12.2,,71.0,"(71.0, None)"
1199,TiO2,6.6,,0.723,,12.8,,70.5,"(70.5, None)"
1200,TiO2,4.7,,0.671,,9.7,,72.2,"(72.2, None)"
1201,N/A,12.38,,0.95,,17.85,,73.0,"(73.0, None)"
1202,PDPP-T-DTT,5.02,,0.584,,12.76,,67.27,"(67.27, None)"
1203,PSI-NiO,0.0071,0.0003,0.1,0.01,0.16,0.01,42.0,"(42.0, 0.01)"
1204,Tandem cell,0.056,0.001,0.71,0.01,0.16,0.01,50.0,"(50.0, 0.02)"
1205,PSI-TiO2,0.053,0.008,0.58,0.02,0.15,0.01,59.0,"(59.0, 0.03)"
1206,P25,5.96,,0.725,,13.78,,59.699999999999996,"(59.699999999999996, None)"
1207,P25/4% UC,7.38,,0.735,,16.42,,61.1,"(61.1, None)"
1208,P25/5% UC,7.58,,0.755,,14.82,,67.7,"(67.7, None)"
1209,P25/6% UC,6.88,,0.765,,11.94,,75.3,"(75.3, None)"
1210,PBDTDT(Qx-3)-T,6.9,,0.94,,11.28,,64.7,"(64.7, None)"
1211,CH3NH3PbI3,13.1,,0.976,,20.4,,66.0,"(66.0, None)"
1212,IDB-ZnP,3.62,,0.67,,6.93,,78.0,"(78.0, None)"
1213,M0,1.5,,0.88,,4.6,,37.0,"(37.0, None)"
1214,M1,1.8,,0.97,,5.8,,33.0,"(33.0, None)"
1215,M2,3.6,,0.95,,9.5,,40.0,"(40.0, None)"
1216,M3,1.3,,0.85,,4.1,,38.0,"(38.0, None)"
1217,PTB7:PC71BM,5.57,,0.73,,15.36,,50.0,"(50.0, None)"
1218,TiO2 nanowires,7.1,,0.77,,12.89,,72.0,"(72.0, None)"
1219,PBDFTDTBT,6.0,,0.76,,12.04,,65.0,"(65.0, None)"
1220,PBDFTDTBT:PC71BM,6.0,,0.75,,10.0,,60.0,"(60.0, None)"
1221,Cl-AlPc,1.23,,0.67,,3.85,,48.0,"(48.0, None)"
1222,F5PhO-AlPc,1.06,,0.8,,2.97,,44.0,"(44.0, None)"
1223,NO2PhO-AlPc,0.86,,0.82,,2.63,,40.0,"(40.0, None)"
1224,α6T/Cl-AlPc,1.02,,0.61,,3.82,,44.0,"(44.0, None)"
1225,α6T/F5PhO-AlPc,1.12,,0.67,,4.2,,40.0,"(40.0, None)"
1226,α6T/NO2PhO-AlPc,0.84,,0.66,,2.75,,47.0,"(47.0, None)"
1227,"poly[(4,4′-bis(3-(2-ethyl-hexyl)dithieno[3,2-b:3′-d]silole)-2,6-diyl-alt-(2,5-(3-(2-ethylhexyl)thiophen-2-yl)thiazolo[5,4-d]thiazole)]:indene-C60 bisadduct (PSEHTT:ICBA)",6.87,,0.89,,11.6,,66.87,"(66.87, None)"
1228,BHBT2:PC61BM,0.98,,0.66,,1.8,,30.0,"(30.0, None)"
1229,PTB7-Th:Coi8DFIC:PC61BM,11.19,,0.716,,23.78,,65.71,"(65.71, None)"
1230,PTB7-Th:Coi8DFIC:PC61BM,11.93,,0.703,,26.16,,64.87,"(64.87, None)"
1231,PTB7-Th:Coi8DFIC:PC61BM,10.68,,0.716,,22.52,,66.25,"(66.25, None)"
1232,PTB7-Th:Coi8DFIC:PC61BM,10.27,,0.708,,21.6,,67.15,"(67.15, None)"
1233,PTB7-Th:Coi8DFIC:PC61BM,5.16,,0.69,,17.54,,42.66,"(42.66, None)"
1234,PTB7-Th:Coi8DFIC:PC61BM,10.29,,0.69,,24.22,,61.58,"(61.58, None)"
1235,PTB7-Th:Coi8DFIC:PC61BM,8.05,,0.67,,21.52,,55.84,"(55.84, None)"
1236,PTB7-Th:Coi8DFIC:PC61BM,6.67,,0.67,,18.91,,52.65,"(52.65, None)"
1237,PTB7-Th:Coi8DFIC:PC61BM,1.17,,0.67,,7.43,,23.51,"(23.51, None)"
1238,D18-Cl:N3:Y6,17.74,,0.866,,27.89,,74.31,"(74.31, None)"
1239,PBDB-T:A1,1.01,,0.67,,3.38,,44.42,"(44.42, None)"
1240,PBDB-T:A2,2.94,,0.77,,8.73,,43.84,"(43.84, None)"
1241,spiro-OMeTAD,20.56,,1.1,,24.25,,77.0,"(77.0, None)"
1242,spiro-DBF,21.43,,1.12,,24.21,,79.0,"(79.0, None)"
1243,spiro-DBT,20.37,,1.12,,23.88,,76.0,"(76.0, None)"
1244,Columnar I/PCBM,0.37,,0.55,,0.86,,24.0,"(24.0, None)"
1245,Columnar II/PCBM,0.42,,0.79,,0.89,,41.0,"(41.0, None)"
1246,Columnar III/PCBM,0.45,,0.96,,0.93,,56.00000000000001,"(56.00000000000001, None)"
1247,Blend (1:1),0.33,,3.19,,0.98,,33.0,"(33.0, None)"
1248,Blend (1:2),0.41,,4.12,,1.0,,41.0,"(41.0, None)"
1249,Blend (1:2) annealed,0.42,,4.0,,1.0,,42.0,"(42.0, None)"
1250,Blend (1:3),0.41,,3.77,,0.98,,41.0,"(41.0, None)"
1251,Blend (1:3) annealed,0.4,,4.31,,0.99,,40.0,"(40.0, None)"
1252,Blend F8T2:PCBM (1:1),0.33,,2.81,,1.0,,33.0,"(33.0, None)"
1253,D18:Y6,17.26,,0.864,,25.65,,77.88,"(77.88, None)"
1254,H6:Y6,18.12,,0.888,,26.51,,76.98,"(76.98, None)"
1255,H7:Y6,16.92,,0.889,,25.79,,73.8,"(73.8, None)"
1256,H8:Y6,18.28,,0.89,,26.65,,77.09,"(77.09, None)"
1257,H9:Y6,18.5,,0.89,,26.68,,77.89,"(77.89, None)"
1258,Cs2M,17.1,,1.09,,22.0,,71.1,"(71.1, None)"
1259,Cs6M,18.6,,1.12,,22.8,,72.8,"(72.8, None)"
1260,Cs10M,18.1,,1.12,,22.5,,72.0,"(72.0, None)"
1261,Cs14M,16.3,,1.1,,21.7,,68.2,"(68.2, None)"
1262,PSEHTT:ICBA,8.4,,1.62,,8.23,,62.98,"(62.98, None)"
1263,PBDT-TS1,9.74,,0.802,,17.72,,68.57,"(68.57, None)"
1264,PBDT-TSR,10.2,,0.804,,17.99,,70.55,"(70.55, None)"
1265,Carbon nanofiber and titanium dioxide (TiO2) composite,7.25,,0.84,,13.69,,63.0,"(63.0, None)"
1266,NiOx/MAPbI3,15.9,,1.05,,21.11,,71.74,"(71.74, None)"
1267,NiOx/PS/MAPbI3,18.39,,1.108,,22.45,,73.94,"(73.94, None)"
1268,NiOx/PS/MAPbI3/PS,19.99,,1.149,,22.51,,77.33,"(77.33, None)"
1269,PCDTBT:PC71BM,5.94,,0.76,,15.15,,51.52,"(51.52, None)"
1270,PTB7:PC71BM,4.6,,0.76,,16.93,,35.58,"(35.58, None)"
1271,PDTPI:PC[60]BM,0.99,,0.46,,5.25,,41.3,"(41.3, None)"
1272,PBDTTTz-4:PDTPI,1.73,,1.08,,4.6,,32.93,"(32.93, None)"
1273,MAPbI3,20.22,,1.086,,23.97,,77.7,"(77.7, None)"
1274,HC(NH2)2PbI3,12.03,,0.912,,19.88,,66.0,"(66.0, None)"
1275,HC(NH2)2PbI3,11.87,,0.918,,18.96,,68.0,"(68.0, None)"
1276,HC(NH2)2PbI3,11.88,,0.902,,19.64,,67.0,"(67.0, None)"
1277,C6,14.54,,0.84,,23.82,,72.68,"(72.68, None)"
1278,Co0.85Se,8.04,,0.73,,16.25,,67.78,"(67.78, None)"
1279,TPA-PTZ-BDP:PC71BM,1.62,,0.672,,6.2,,40.8,"(40.8, None)"
1280,N/A,5.94,,0.88,,9.92,,68.0,"(68.0, None)"
1281,PDTT-BOBT,9.21,,0.82,,15.07,,74.0,"(74.0, None)"
1282,PDTT-HDBT,6.21,,0.82,,10.89,,69.0,"(69.0, None)"
1283,P1,3.44,,0.65,,10.05,,53.0,"(53.0, None)"
1284,Not provided,14.01,,0.97,,20.21,,71.73,"(71.73, None)"
1285,Not provided,15.53,,0.97,,20.21,,71.73,"(71.73, None)"
1286,PBDT-TBT,4.4,,0.95,,9.6,,48.2,"(48.2, None)"
1287,PBDT-TTBT,5.5,,0.77,,11.82,,60.5,"(60.5, None)"
1288,P2-PZ,2.0,,0.53,,6.24,,60.0,"(60.0, None)"
1289,P,0.58,,0.41,,2.28,,62.0,"(62.0, None)"
1290,CsPbI2Br,13.8,,1.19,,15.66,,74.1,"(74.1, None)"
1291,CH3NH3PbI3−xClx,7.91,,1.02,,14.14,,53.95,"(53.95, None)"
1292,CH3NH3PbI3−xClx,8.49,,1.04,,14.39,,56.82,"(56.82, None)"
1293,CH3NH3PbI3−xClx,9.72,,1.04,,15.9,,57.69,"(57.69, None)"
1294,CH3NH3PbI3−xClx,11.9,,1.02,,18.73,,62.6,"(62.6, None)"
1295,CH3NH3PbI3−xClx,12.59,,1.01,,19.86,,62.78,"(62.78, None)"
1296,NiO,12.59,,1.01,,19.86,,62.78,"(62.78, None)"
1297,NiO:Li0.1,15.51,,1.05,,22.8,,64.15,"(64.15, None)"
1298,NiO:Li0.2,7.56,,0.78,,20.41,,47.25,"(47.25, None)"
1299,Y-doped TiO2,7.61,,0.706,,15.74,,68.46,"(68.46, None)"
1300,TiO2 nanofibers,11.16,,0.953,,19.52,,60.0,"(60.0, None)"
1301,Au@TiO2 nanofibers,14.92,,0.986,,21.63,,70.0,"(70.0, None)"
1302,DTCz-TBT,1.24,,1.02,,4.55,,27.0,"(27.0, None)"
1303,DTCz-2TBT,3.44,,0.92,,8.52,,44.0,"(44.0, None)"
1304,DTCz-3TBT,3.9,,0.86,,9.8,,46.0,"(46.0, None)"
1305,P2/PC71BM,1.5,,0.8,,3.43,,54.7,"(54.7, None)"
1306,P3/PC71BM,3.7,,0.89,,7.01,,58.6,"(58.6, None)"
1307,PCDTBT,4.35,,0.89,,9.42,,51.0,"(51.0, None)"
1308,PCDTBT:[70]PCBM,4.57,,0.89,,10.22,,51.0,"(51.0, None)"
1309,PTB7-Th and IEICO-4F with different weight ratios of TTZD,10.63,,0.73,,22.28,,66.0,"(66.0, None)"
